2,The Mummy,1932,3.5,4388
13,The Birth of a Nation,1915,2.9,12118
14,The Boys from Brazil,1978,3.6,7417
16,The Breakfast Club,1985,4.0,5823
17,The Bride of Frankenstein,1935,3.7,4485
20,The Beguiled,1971,3.4,6307
26,The Best of Times,1986,3.4,6247
32,The Lady Vanishes,1938,3.7,5762
50,The Eiger Sanction,1975,3.5,7726
64,The Baby,1973,2.9,5101
67,The Andromeda Strain,1971,3.6,7861
72,The Aristocats,1970,3.9,4731
74,The Asphyx,1973,2.8,5193
79,The Mark of Zorro,1920,3.1,6433
82,The Mikado,1939,3.1,5448
86,The Hindenburg,1975,3.4,7546
92,The Great Outdoors,1988,3.7,5424
95,The Golden Child,1986,3.5,5609
97,The Great Waldo Pepper,1975,3.5,6467
101,The Hunchback of Notre Dame,1923,3.5,6750
129,The Falcon and the Snowman,1985,3.4,7891
136,The Battleship Potemkin,1925,3.6,4153
160,The Cat and the Canary,1927,3.1,4954
170,The Serpent and the Rainbow,1988,3.4,5633
176,The Secret of NIMH,1982,3.8,4963
186,The Toxic Avenger: Part 2,1989,2.9,6172
197,The Toxic Avenger,1985,3.0,5243
206,The Thief of Bagdad,1924,3.3,8921
218,They Might Be Giants,1971,3.4,5175
226,The Canterbury Tales,1972,2.7,6676
231,The Sinful Nuns of St. Valentine,1974,2.4,5597
235,The Great Train Robbery,1978,3.6,6652
259,The Mighty Peking Man,1977,2.7,5451
271,The Official Story,1985,3.6,6832
380,The General,1926,3.5,4726
382,The Wolf Man,1941,3.8,4193
408,The Last Temptation of Christ,1988,3.4,9790
411,The Fox and the Hound,1981,3.9,4975
419,The Trial,1962,3.3,7164
422,The Tempest,1979,2.2,5710
424,The Van,1977,2.7,5201
434,The Endless Summer,1966,3.9,5509
435,The House of Exorcism,1975,2.5,5495
436,The Sacrifice,1986,3.5,8924
444,The Brother from Another Planet,1984,3.2,6567
497,The Awful Dr. Orlof,1962,2.5,4973
498,The Girl Who Knew Too Much,1963,2.9,5146
538,The Philadelphia Experiment,1984,3.3,6074
572,The Bounty,1984,3.5,7866
581,The Stuff,1985,3.1,5193
594,The Odd Couple,1968,3.8,6324
595,The Sword in the Stone,1963,3.9,4776
596,The Conversation,1974,3.6,6821
618,The Man from Planet X,1951,3.0,4242
620,The Untouchables,1987,4.0,7164
653,The Seven Year Itch,1955,3.6,6264
654,There's No Business Like Show Business,1954,3.6,7033
681,The Brink's Job,1978,3.5,6189
683,The Ghost and Mrs. Muir,1947,3.9,6262
684,The Best Little Whorehouse in Texas,1982,3.6,6851
690,The African Queen,1951,4.1,6312
691,The Agony and the Ecstasy,1965,3.7,8346
692,The Accused,1988,3.7,6630
694,The Dead,1987,3.2,4990
695,The Promise,1979,3.7,5817
696,The Rescuers,1977,3.9,4632
697,The Inn of the Sixth Happiness,1958,4.0,9470
698,The Woman in Red,1984,3.1,5196
699,The Other Side of the Mountain,1975,3.8,6139
700,The Paper Chase,1973,3.6,6668
702,The Naked City,1948,3.6,5754
703,The Sting II,1983,3.2,6106
704,The Man Who Shot Liberty Valance,1962,4.0,7399
705,The Molly Maguires,1970,3.4,7480
707,The Men,1950,3.4,5207
708,The Lady Eve,1941,3.7,5648
739,The Great Gatsby,1974,3.6,8605
740,The Young Girls of Rochefort,1967,3.1,7498
749,The Libertine,1968,2.4,5484
770,The Dunwich Horror,1970,3.0,5261
786,The French Connection II,1975,3.3,7155
804,The Nine Lives of Fritz the Cat,1974,3.2,4592
827,The Return of a Man Called Horse,1976,3.5,7540
848,The Dogs of War,1980,3.3,7127
857,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,3.3,6155
879,The Bad News Bears,1976,3.6,6117
880,The Many Adventures of Winnie the Pooh,1977,3.9,4439
881,The Bad News Bears Go to Japan!,1978,2.9,5545
882,The Bad News Bears in Breaking Training,1977,3.2,5975
925,The Man from Snowy River,1982,3.9,6270
937,The Gambler,1974,3.0,6647
938,The Beloved Rogue,1927,2.6,5899
939,The Iron Mask,1929,3.0,4340
940,The Great Mouse Detective,1986,3.9,4454
946,The Toxic Avenger: Part 3,1989,2.9,6130
1001,The Care Bears Movie,1985,3.5,4547
1002,The Long Goodbye,1973,3.4,6730
1003,The Onion Field,1979,3.5,7285
1014,The Sidewalks of Bangkok,1984,2.6,5307
1030,The Boys Next Door,1985,3.3,5447
1031,The Hills Have Eyes 2,1984,2.9,5412
1036,The Big Knife,1955,3.1,6836
1039,The Rocking Horse Winner,1950,3.1,5502
1050,The Cook  The Thief  His Wife  and Her Lover,1989,3.4,7450
1124,The Water Babies,1978,3.0,5871
1136,The Black Stallion Returns,1983,3.7,6175
1138,The Glass Menagerie,1973,3.6,6320
1212,The Eleanor Roosevelt Story,1965,3.8,5320
1215,The Desert Fox: The Story of Rommel,1951,3.6,5306
1227,The Private Life of Sherlock Holmes,1970,3.4,7519
1293,They Made Me a Fugitive,1947,3.1,6039
1295,The Lair of the White Worm,1988,3.0,5602
1301,The Shakiest Gun in the West,1968,3.8,6036
1319,The Angry Red Planet,1959,3.0,5001
1321,The Manhattan Project,1986,3.5,7065
1437,The Bloody Judge,1970,2.4,6178
1526,The Pirates of Penzance,1983,3.6,6704
1544,The Monkey Hustle,1976,3.3,5419
1549,The Thin Blue Line,1988,3.7,6086
1627,The Black Godfather,1974,3.1,5682
1648,The Border,1982,3.4,6500
1652,The Final Countdown,1980,3.6,6152
1703,The Scarlet Clue,1945,3.6,3888
1715,The Big Boss,1971,4.0,6007
1718,The Invisible Man: Special Edition,1933,3.7,4287
1736,The Belle of Amherst,1976,3.5,5321
1741,The Apple,1980,2.7,5188
1753,The Passionate Friends,1949,3.4,5454
1788,The Dream Team,1989,3.5,6733
1790,The Man with One Red Shoe,1985,3.3,5549
1803,The Last of England,1988,2.1,5482
1818,The Initiation,1984,2.9,5818
1824,The Panic in Needle Park,1971,3.4,6578
1841,The Octagon,1980,3.1,6242
2022,The Fast and the Furious,1955,3.0,4429
2043,The Blue Angel (German Version),1930,3.6,6440
2054,The Vineyard,1989,2.6,5605
2073,The Bingo Long Traveling All-Stars and Motor Kings,1976,3.6,6648
2081,The Secret of Nikola Tesla,1980,3.6,5788
2108,The Sadistic Baron Von Klaus,1962,2.2,5753
2179,The Noose Hangs High,1948,3.7,4612
2248,The Secret Garden,1975,3.6,6388
2311,The Escape Artist,1982,3.2,5640
2370,The Shadow Riders,1982,3.7,5760
2432,The Adventures of Mark Twain,1985,3.5,5165
2442,The Gospel Road: A Story of Jesus,1973,3.4,4829
2554,The Boy &#38; the Pirates,1960,2.9,5051
2563,The River's Edge,1957,3.2,5236
2565,The Double Headed Eagle: Hitler's Rise to Power 1918-1933,1973,3.2,5168
2593,The Sex Thief,1974,2.9,5589
2633,The Wild Geese,1978,3.5,7748
2702,The Dick Van Dyke Show: Season 2: Will You Two Be My Wife?,1962,,1536
2703,The Dick Van Dyke Show: Season 2: Ray Murdock's X-Ray,1962,,1526
